Pontificate,Start date,End date,Years and days of Pontificate,Number of days of Pontificate (max),English name,Regnal name (latin),Personal name,Place of birth,Modern-day country of birth,Age at start of papacy,Age at end of papacy,Comments
30 - 64/67,30,64,34 to 37 years,13505,St. Peter,PETRUS,"Simon Peter, Simeon Kephas, Simon The Rock","Bethsaida, Galilea",Israel,n.a,n.a,
64/67(?) - 76/79(?),64,76,12 years,4380,St. Linus,LINUS,Linus,Tuscia (Central Tuscany),Italy,n.a,n.a,
76/79(?) - 88,76,92,12 years or 9 years,4380,St. Anacletus (Cletus) ,ANACLETUS,Anacletus,Probably Greece,Greece,n.a,n.a,
88/92 - 97,88,97,,?,St. Clement I,CLEMENS,Clement,Rome,Italy,n.a,n.a,
97/99 - 105/107,97,105,8 years,2920,St. Evaristus (Aristus),EVARISTUS,Aristus,"Bethlehem, Judea",West Bank,n.a,n.a,
105/107 - 115/116,105,115,10 years or 9 years,3650,St. Alexander I,ALEXANDER,Alexander,Rome,Italy,n.a,n.a,
115/116 - 125,115,125,20 years or 19 years,7300,St. Sixtus I,XYSTUS,n.a,Rome or Greece,Greece,n.a,n.a,
125 - 136/138,125,136,11 years or 13 years,4745,St. Telesphorus,TELESPHORUS,n.a,Greece,Greece,n.a,n.a,
136/138 - 140/142,136,140,4 years,1460,St. Hyginus,HYGINUS,n.a,Greece,Greece,n.a,n.a,
140/142 - 155,140,142,15 years or 13 years,5475,St. Pius I,PIUS,n.a,"Aquileia, Friuli, Italy",Italy,n.a,n.a,
155 - 166,155,166,11 years,4015,St. Anicetus,ANICETUS,n.a,"Emesa, Syria",Syria,n.a,n.a,
c.166 - 174/175,166,174,8 years or 9 years,3285,St. Soter ,SOTERIUS,n.a,"Fondi, Latium, Italy",Italy,n.a,n.a,
174/175 - 189,174,189,15 years or 14 years,5475,St. Eleuterus,ELEUTHERIUS,n.a,"Nicopoli, Epyrus",Greece,n.a,n.a,
189 - 198/199,189,198,9 years or 10 years,3650,St. Victor I,VICTOR,n.a,Northern Africa,Africa,n.a,n.a,
199 - 217,199,217,18 years,6570,St. Zephyrinus (Zephyrin),ZEPHYRINUS,n.a,Rome,Italy,n.a,n.a,
c.217 - 222/223,217,222,5 years or 6 years,2190,St. Callixtus I,CALLISTUS,n.a,Spain,Spain,n.a,n.a,
222/223 - 230,222,230,8 years or 7 years,2920,St. Urban I,URBANUS,n.a,Rome,Italy,n.a,n.a,
21 July 230 - 28 September 235,230,235,5 years,1825,St. Pontian,PONTIANUS,n.a,Rome,Italy,n.a,n.a,First pope with firm dates of office
21 November 235 - 3 January 236,235,236,44 days,44,St. Anterus,ANTERUS,n.a,Greece,Greece,n.a,n.a,
10 January 236 - 20 January 250,236,250,14 years,5110,St. Fabian,FABIANUS,n.a,Rome,Italy,n.a,n.a,
6/11 March 251 - June 253,251,253,2 years,730,St. Cornelius,CORNELIUS,n.a, ,n.a,n.a,n.a,
25 June 253 - 5 March 254,253,254,256 days,256,St. Lucius I,LUCIUS,n.a,Rome,Italy,n.a,n.a,
12 May 254 - 2 August 257,254,257,3 years,42,St. Stephen I,STEPHANUS,n.a,Rome,Italy,n.a,n.a,
30/31 August 257 - 6 August 258,257,258,340 or 341 days,341,St. Sixtus II,XYSTUS Secundus,&nsp;,Greece,Greece,n.a,n.a,
22 July 259 - 26 December 268,259,268,9 years,3285,St. Dionysius,DIONYSIUS,n.a,Greece,Greece,n.a,n.a,
5 January 269 - 30 December 274,269,274,5 years,1825,St. Felix I,FELIX,n.a,Rome,Italy,n.a,n.a,
4 January 275 - 7 December 283,275,283,8 years,2920,St. Eutychian,EUTYCHIANUS,n.a, ,n.a,n.a,n.a,
17 December 283 - 22 April 296,283,296,12 years,4380,St. Caius,CAIUS,n.a, ,n.a,n.a,n.a,
30 June 296 - 1 April 304,296,308,7 years,2555,St. Marcellinus,MARCELLINUS,n.a, ,n.a,n.a,n.a,
308 - 309,308,309,1 year,365,St. Marcellus I,MARCELLUS,n.a, ,n.a,n.a,n.a,
c.309 - c.310,309,311,1 year,365,St. Eusebius,EUSEBIUS,n.a, ,n.a,n.a,n.a,
2 July 311 - 10 January 314,311,314,2 years,730,St. Miltiades (Melchiades),MILTIADES,n.a,Africa,Africa,n.a,n.a,
31 January 314 - 31 December 335,314,336,21 years,7665,St. Sylvester I ,SILVESTER,n.a,"Sant'Angelo a Scala, Avellino",Italy,n.a,n.a,
18 January 336 - 7 October 336,336,337,263 days,263,St. Mark ,MARCUS,n.a,Rome,Italy,n.a,n.a,
6 February 337 - 12 April 352,337,352,15 years,5475,St. Julius I,IULIUS,&nbs;,Rome,Italy,n.a,n.a,
17 May 352 - 24 September 366,352,366,14 years,5110,Liberius ,LIBERIUS,n.a,&nsp;,n.a,n.a,n.a,"Earliest Pope not yet canonized by the Roman Church. Revered as a saint in Eastern Christianity, with a feast day of 27 August."
1 October 366 - 11 December 384,366,384,18 years,6570,St. Damasus I ,DAMASUS,n.a,"Idanha-a-Velha, Portugal",Portugal,n.a,n.a,
11 December 384 - 26 November 399,384,399,14 years,5110,St. Siricius,SIRICIUS,n.a,&nsp;,n.a,n.a,n.a,
27 November 399 - 19 December 401,399,401,2 years,730,St. Anastasius I,ANASTASIUS,n.a, ,n.a,n.a,n.a,
22 December 401 - 12 March 417,401,417,15 years,5475,St. Innocent I,INNOCENTIUS,n.a, ,n.a,n.a,n.a,
18 March 417 - 26 December 418,417,418,1 year,365,St. Zosimus,ZOSIMUS,n.a, ,n.a,n.a,n.a,
28/29 December 418 - 4 September 422,418,422,3 years,1095,St. Boniface I, BONIFACIUS,n.a, ,n.a,n.a,n.a,
10 September 422 - 27 July 432,422,432,9 years,3285,St. Celestine I,COELESTINUS,n.a,"Rome, Western Roman Empire",Italy,n.a,n.a,
31 July 432 - March/August 440,432,440,8 years,2920,St. Sixtus III,XYSTUS Tertius,n.a, ,n.a,n.a,n.a,
29 September 440 - 10 November 461,440,461,21 years,7665,St. Leo I (Leo the Great),LEO MAGNUS,n.a,Rome,Italy,n.a,n.a,
19 November 461 - 29 February 468 ,461,468,6 years,2190,St. Hilarius,HILARIUS,n.a,"Sardinia, Western Roman Empire",Italy,n.a,n.a,
3 March 468 - 10 March 483,468,483,15 years,5475,St. Simplicius,SIMPLICIUS,n.a,"Tivoli, Italy",Italy,n.a,n.a,
13 March 483 - 1 March 492,483,492,8 years,2920,St. Felix III (Felix II),FELIX Tertius (Secundus),n.a,Rome,Italy,n.a,n.a,
1 March 492 - 21 November 496 ,492,496,4 years,1460,St. Gelasius I,GELASIUS,n.a,Africa,Africa,n.a,n.a,
24 November 496 - 19 November 498 ,496,498,1 year,365,Anastasius II,ANASTASIUS Secundus,n.a, ,n.a,n.a,n.a,
22 November 498 - 19 July 514,498,514,15 years,5475,St. Symmachus,SYMMACHUS,n.a,Sardinia,Italy,n.a,n.a,
20 July 514 - 19 July 523 ,514,523,8 years,2920,St. Hormisdas,HORMISDUS,n.a,"Frosinone, Southern Latium, Italy",Italy,n.a,n.a,
13 August 523 - 18 May 526 ,523,526,2 years,730,St. John I,IOANNES,n.a,Tuscany,Italy,n.a,n.a,
13 July 526 - 22 September 530,526,530,4 years,1460,St. Felix IV (Felix III),FELIX Quartus (Tertius),n.a,Samnium,Italy,n.a,n.a,
22 September 530 - 17 October 532 ,530,533,2 years,730,Boniface II,BONIFACIUS Secundus,n.a,Rome to Ostrogoth parents,Italy,n.a,n.a,
2 January 533 - 8 May 535,533,535,2 years,730,John II,IOANNES Secundus,Mercurius,Rome,Italy,n.a,n.a,
13 May 535 - 22 April 536 ,535,536,346 days,346,St. Agapetus I (Agapitus),AGAPETUS,n.a,"Rome, Ostrogothic Kingdom",Italy,n.a,n.a,
1 June 536 - 11 November 537 ,536,537,1 year,365,St. Silverius,SILVERIUS,n.a, ,Italy,n.a,n.a,
29 March 537 - 7 June 555 ,537,555,18 years,6570,Vigilius,VIGILIUS,n.a,Rome,Italy,n.a,n.a,
16 April 556 - 4 March 561 ,556,561,5 years,1825,Pelagius I, PELAGIUS,n.a,Rome,Italy,n.a,n.a,
17 July 561 - 13 July 574,561,575,12 years,4380,John III,IOANNES Tertius,Catelinus,"Rome, Eastern Roman Empire",Italy,n.a,n.a,
2 June 575 - 30 July 579 ,575,579,4 years,5475,Benedict I,BENEDICTUS,n.a, ,Italy,n.a,n.a,
26 November 579 - 7 February 590,579,590,10 years,3650,Pelagius II,PELAGIUS Secundus,n.a,Rome,Italy,n.a,n.a,
3 September 590 - 12 March 604 ,590,604,13 years,4745,"St. Gregory I, O.S.B. (Gregory the Great)",GREGORIUS MAGNUS,n.a,Rome,Italy,n.a,n.a,
13 September 604 - 22 February 606 ,604,607,1 year,365,Sabinian,SABINIANUS,n.a,Blera,Italy,n.a,n.a,
19 February 607 - 12 November 607 ,607,608,267 days,267,Boniface III,BONIFACIUS Tertius,n.a,Rome,Italy,n.a,n.a,
25 August 608 - 8 May 615,608,615,6 years,2190,"St. Boniface IV, O.S.B.", BONIFACIUS Quartus,n.a,Marsi,Italy,n.a,n.a,First Pope to bear the same name as his predecessor. Member of the Order of Saint Benedict.
19 October 615 - 8 November 618,615,619,3 years,0,Adeodatus I (Deusdedit),ADEODATUS,n.a,Rome,Italy,n.a,n.a,
23 December 619 - 25 October 625,619,625,5 years,1825,Boniface V,BONIFACIUS Quintus,n.a,Naples,Italy,n.a,n.a,
27 October 625 - 12 October 638 ,625,638,12 years,4380,Honorius I,HONORIUS,n.a,"Campania, Byzantine Empire",Italy,n.a,n.a,
October 638 - 2 August 640 ,638,640,1 year,365,Severinus,SEVERINUS,n.a,Rome,Italy,n.a,n.a,
24 December 640 - 12 October 642 ,640,642,1 year,0,John IV,IOANNES Quartus,n.a,"Zadar, Dalmatia, now Croatia",Croatia,n.a,n.a,
24 November 642 - 14 May 649 ,642,649,6 years,2190,Theodore I,THEODORUS,n.a,Palestine,West Bank,n.a,n.a,
July 649 - 16 September 655 ,649,654,6 years,2190,St. Martin I,MARTINUS,n.a,"Near Todi, Umbria, Byzantine Empire",Italy,n.a,n.a,
10 August 654 - 2 June 657 ,654,657,2 years,730,St. Eugene I, EUGENIUS,n.a,Rome,Italy,n.a,n.a,
30 July 657 - 27 January 672,657,672,14 years,5110,St. Vitalian,VITALIANUS,n.a,"Segni, Byzantine Empire",Italy,n.a,n.a,
11 April 672 - 17 June 676,672,676,4  years,1460,"Adeodatus II, O.S.B.",ADEODATUS Secundus,n.a,"Rome, Byzantine Empire",Italy,n.a,n.a,
2 November 676 - 11 April 678 ,676,678,1 year,365,Donus,DONUS,n.a,"Rome, Byzantine Empire",Italy,n.a,n.a,
27 June 678 - 10 January 681 ,678,681,2 years,730,St. Agatho,AGATHO,n.a,Sicily,Italy,n.a,n.a,
December 681 - 3 July 683,681,684,1 year,365,St. Leo II,LEO Secundus,n.a,Sicily,Italy,n.a,n.a,
26 June 684 - 8 May 685 ,684,685,317 days,317,St. Benedict II,BENEDICTUS Secundus,n.a,"Rome, Byzantine Empire",Italy,n.a,n.a,
12 July 685 - 2 August 686 ,685,686,1 year,365,John V,IOANNES Quintus,n.a,Syria,Syria,n.a,n.a,
21 October 686 - 22 September 687 ,686,687,335 days,335,Conon,CONON,n.a, ,n.a,n.a,n.a,
15 December 687 - 8 September 701 ,687,701,13 years,4745,St. Sergius I, SERGIUS,n.a,Sicily,Italy,n.a,n.a,
30 October 701 - 11 January 705 ,701,705,3 years,1095,John VI,IOANNES Sextus,n.a,Greece,Greece,n.a,n.a,
1 March 705 - 18 October 707 ,705,708,2 years,730,John VII,IOANNES Septimus,n.a,Greece,Greece,n.a,n.a,
15 January 708 - 4 February 708 ,708,708,21 days,21,Sisinnius,SISINNIUS,n.a,Syria,Syria,n.a,n.a,
25 March 708 - 9 April 715 ,708,7015,7 years,2555,Constantine,CONSTANTINUS,n.a,Syria,Syria,n.a,n.a,Last pope to visit Greece until John Paul II in 2001
19 May 715 - 11 February 731 ,715,731,15 years,5475,St. Gregory II,GREGORIUS Secundus,n.a,"Rome, Byzantine Empire",Italy,n.a,n.a,
18 March 731 - 28 November 741 ,731,741,10 years,3650,Gregory III,GREGORIUS Tertius,n.a,Syria,Syria,n.a,n.a,
3 December 741 - 14/22 March 752 ,741,752,10 years,3650,St. Zachary, ZACHARIAS,n.a,Greece,Greece,n.a,n.a,
23 March 752 - 25 March 752,752,752,Never took office as Pope,0,Pope-elect Stephen,Electus STEPHANUS,n.a,,n.a,n.a,n.a,"Sometimes known as Stephen II. Died three days after his election and was never consecrated into the office of Pope as such. Some lists still include his name. The Vatican sanctioned his addition to the list of popes in the sixteenth century, however he was removed in 1961. He is no longer considered a pope by the Catholic Church."
26 March 752 - 26 April 757,752,757,5 years,1825,Stephen II (Stephen III),STEPHANUS Secundus (Tertius),n.a,,n.a,n.a,n.a,
29 May 757 - 28 June 767,757,767,10 years,3650,St. Paul I, PAULUS,n.a,Rome,Italy,n.a,n.a,
1/7 August 767 - 24 January 772 ,767,772,4 years,1460,Stephen III (Stephen IV),STEPHANUS Tertius (Quartus),n.a,Sicily,Italy,n.a,n.a,
1 February 772 - 26 December 795 ,772,795,23 years,8395,Adrian I,HADRIANUS,n.a,Rome,Italy,n.a,n.a,
26 December 795 - 12 June 816 ,795,816,20 years,7300,St. Leo III,LEO Tertius,n.a,Rome,Italy,n.a,n.a,
12 June 816 - 24 January 817 ,816,817,226 days,226,Stephen IV (Stephen V),STEPHANUS Quartus (Quintus),n.a, ,Italy,n.a,n.a,
25 January 817 - 11 February 824 ,817,824,7 years,2555,St. Paschal I,PASCHALIS,n.a,Rome,Italy,n.a,n.a,
8 May 824 - August 827 (3 years),824,827,3 years,1095,Eugene II,EUGENIUS Secundus,n.a,Rome,Italy,n.a,n.a,
August 827 - September 827 ,827,827,c. 30 days,30,Valentine,VALENTINUS,n.a,Rome,Italy,n.a,n.a,
827 - January 844 ,827,844,17 years,6205,Gregory IV,GREGORIUS Quartus,n.a,Rome,Italy,n.a,n.a,
January 844 - 7 January 847 (3 years),844,847,3 years,1095,Sergius II,SERGIUS Secundus,n.a,Rome,Italy,n.a,n.a,
January 847 - 17 July 855 ,847,855,8 years,2920,"St. Leo IV, O.S.B.",LEO Quartus,n.a,Rome,Italy,n.a,n.a,
855 - 7 April 858 ,855,858,3 years,1095,Benedict III,BENEDICTUS Tertius,n.a,Rome,Italy,n.a,n.a,
24 April 858 - 13 November 867 ,858,867,9 years,3285,St. Nicholas I (Nicholas the Great),NICOLAUS MAGNUS,n.a,Rome,Italy,n.a,n.a,
14 December 867 - 14 December 872 ,867,872,5 years,1825,Adrian II,HADRIANUS Secundus,n.a,Rome,Italy,n.a,n.a,
14 December 872 - 16 December 882 ,872,882,10 years,3650,John VIII,IOANNES Octavus,n.a,Rome,Italy,n.a,n.a,
16 December 882 - 15 May 884 ,882,884,1 year,365,Marinus I, MARINUS,n.a,"Gallese, Rome",Italy,n.a,n.a,
17 May 884 - c.September 885 ,884,885,1 year,365,St. Adrian III,HADRIANUS Tertius,n.a,Rome,Italy,n.a,n.a,
885 - 14 September 891 ,885,891,6 years,2190,Stephen V (Stephen VI),STEPHANUS Quintus (Sextus),n.a,Rome,Italy,n.a,n.a,
19 September 891 - 4 April 896 ,891,896,4 years,1460,Formosus,FORMOSUS,n.a,Ostia,Italy,n.a,n.a,
4 April 896 - 19 April 896 ,896,896,15 days,15,Boniface VI,BONIFACIUS Sextus,n.a,Rome,Italy,n.a,n.a,
22 May 896 - August 897 ,896,897,1 year,365,Stephen VI (Stephen VII),STEPHANUS Sextus (Septimus),n.a, ,Italy,n.a,n.a,
August 897 - November 897 (<1 Year),897,897,c. 122 days,122,Romanus,ROMANUS,n.a,"Gallese, Rome",Italy,n.a,n.a,
December 897,897,898,less than a year,30,Theodore II,THEODORUS Secundus,n.a,Rome,Italy,n.a,n.a,
January 898 - January 900 ,898,900,2 years,730,"John IX, O.S.B.",IOANNES Nonus,n.a,Tivoli,Italy,n.a,n.a,
900 - 903 ,900,903,3 years,1095,Benedict IV,BENEDICTUS Quartus,n.a,Rome,Italy,n.a,n.a,
July 903 - September 903,903,903,c. 92 days,92,Leo V, LEO Quintus,n.a,Ardea,Italy,n.a,n.a,
29 January 904 - 14 April 911 ,904,911,7 years,2555,Sergius III,SERGIUS Tertius,n.a,Rome,Italy,n.a,n.a,
April 911 - June 913 ,911,913,2 years,730,Anastasius III,ANASTASIUS Tertius,n.a,Rome,Italy,n.a,n.a,
July/August 913 - February/March 914 ,913,914,c. 200 days,200,Lando,LANDO,n.a,"Sabina, Italy",Italy,n.a,n.a,
March 914 - May 928 ,914,928,14 years,5110,John X,IOANNES Decimus,n.a,"Romagna, Italy",Italy,n.a,n.a,
May 928 - December 928,928,928,c. 245 days,245,Leo VI,LEO Sextus,n.a,Rome,Italy,n.a,n.a,
December 928 - February 931 ,928,931,2 years,730,Stephen VII (Stephen VIII),STEPHANUS Septimus (Octavus),n.a,Rome,Italy,n.a,n.a,
February/March 931 - December 935 (4 years),931,935,4 years,1460,John XI, IOANNES Undecimus,n.a,Rome,Italy,n.a,n.a,
3 January 936 - 13 July 939 ,936,939,3 years,1095,"Leo VII, O.S.B.",LEO Septimus,n.a, ,n.a,n.a,n.a,
14 July 939 - October 942 (3 years),939,942,3 years,1095,Stephen VIII (Stephen IX),STEPHANUS Octavus (Nonus),n.a,Germany,Germany,n.a,n.a,
30 October 942 - May 946,942,946,3 years,1095,Marinus II,MARINUS Secundus,n.a,Rome,Italy,n.a,n.a,
10 May 946 - December 955 ,946,955,9 years,3285,Agapetus II,AGAPETUS Secundus,n.a,Rome,Italy,n.a,n.a,
16 December 955 - 14 May 964,955,964,8 years,2920,John XII,IOANNES Duodecimus,Octavian,Rome,Italy,n.a,n.a,
22 May 964 - 23 June 964,964,964,30 days,30,Benedict V,BENEDICTUS Quintus,n.a,Rome,Italy,n.a,n.a,
July 964 - 1 March 965 ,964,965,c. 242 days,242,Leo VIII,LEO Octavus,n.a,Rome,Italy,n.a,n.a,
1 October 965 - 6 September 972 ,965,972,6 years,2190,John XIII,IOANNES Tertius Decimus,n.a,Rome,Italy,n.a,n.a,
19 January 973 - June 974 ,973,974,1 year,365,Benedict VI, BENEDICTUS Sextus,n.a,"Rome, Papal States",Italy,n.a,n.a,Deposed and murdered
October 974 - 10 July 983,974,983,8 years,2920,Benedict VII, BENEDICTUS Septimus,n.a,Rome,Italy,n.a,n.a, 
December 983 - 20 August 984 ,983,984,c. 262 days,262,John XIV,IOANNES Quartus Decimus,Pietro Campanora,Pavia,Italy,n.a,n.a, 
August 985 - March 996 ,985,996,10 years,3650,John XV,IOANNES Quintus Decimus, ,Rome,Italy,n.a,n.a, 
3 May 996 - 18 February 999 ,996,999,2 years,730,Gregory V,GREGORIUS Quintus,Bruno of Carinthia,"Germany, Holy Roman Empire",Germany,n.a,n.a,First German Pope
2 April 999 - 12 May 1003,999,1003,4 years,1460,Sylvester II,SILVESTER Secundus,Gerbert d'Aurillac,Auvergne region of France,France,n.a,n.a,First French Pope
June 1003 - December 1003,1003,1003,c. 214 days,214,John XVII, IOANNES Septimus Decimus,Siccone,"Rome, Papal States",Italy,n.a,n.a,
25 December 1003 - July 1009 ,1003,1009,5 years,1460,John XVIII,IOANNES DuodeVicesimus,Giovanni Fasano; Phasianus,"Rapagnano, Papal States",Italy,n.a,n.a,
31 July 1009 - 12 May 1012,1009,1012,2 years,730,Sergius IV,SERGIUS Quartus,Pietro Boccapecora,"Rome, Papal States, Holy Roman Empire",Italy,n.a,n.a,
18 May 1012 - 9 April 1024 ,1012,1024,11 years,4015,Benedict VIII,BENEDICTUS Octavus,"Theophylactus II, Conti di Tusculum","Rome, Papal States, Holy Roman Empire",Italy,n.a,n.a,
April/May 1024 - 20 October 1032 ,1024,1032,8 years,2920,John XIX,IOANNES UndeVicesimus,"Romanus, Conti di Tusculum","Rome, Papal States, Holy Roman Empire",Italy,n.a,n.a,
1032 - 1044 ,1032,1044,12 years,4380,Benedict IX,BENEDICTUS Nonus,"Theophylactus III, Conti di Tusculum","Rome, Papal States, Holy Roman Empire",Italy,n.a,n.a,
1045,1045,1045,c. 1 year,365,Sylvester III,SILVESTER Tertius,"John, Bishop of Sabina","Rome, Papal States, Holy Roman Empire",Italy,n.a,n.a,
1045 - 1046,1045,1045,c. 1 year,365,Benedict IX,BENEDICTUS Nonus,"Theophylactus III, Conti di Tusculum","Rome, Papal States, Holy Roman Empire",Italy,n.a,n.a,
April/May 1045 - 20 December 1046,1045,1046,1 year,365,Gregory VI,GREGORIUS Sextus,Johannes Gratianus,"Rome, Papal States, Holy Roman Empire",Italy,n.a,n.a,
24 December 1046 - 9 October 1047,1046,1047,289 days,289,Clement II,CLEMENS Secundus,Suidger,"Hornburg, Duchy of Saxony, Holy Roman Empire",Italy,n.a,n.a,
November 1047 - 1048,1047,1048,1 year,365,Benedict IX,BENEDICTUS Nonus,"Theophylactus III, Conti di Tusculum","Rome, Papal States, Holy Roman Empire",Italy,n.a,n.a,
17 July 1048 - 9 August 1048,1048,1048,23 days,23,Damasus II,DAMASUS Secundus,Poppo,"Pildenau, Duchy of Bavaria, Holy Roman Empire",Germany,n.a,n.a,
12 February 1049 - 19 April 1054,1049,1054,5 years,1825,St. Leo IX,LEO Nonus,"Bruno, Count of Dagsbourg","Eguisheim, Swabia, Holy Roman Empire",France,n.a,n.a,
13 April 1055 - 28 July 1057,1055,1057,2 years,730,Victor II,VICTOR Secundus,"Gebhard, Count of Calw, Tollenstein, and Hirschberg","Kingdom of Germany, Holy Roman Empire",Germany,n.a,n.a,
2 August 1057 - 29 March 1058,1057,1058,241 days,241,"Stephen IX (Stephen X), O.S.B.",STEPHANUS Nonus (Decimus),Frederic de Lorraine,"Duchy of Lorraine, Holy Roman Empire",France,n.a,n.a,
6 December 1058 - 27 July 1061,1058,1061,2 years,730,Nicholas II,NICOLAUS Secundus,Gerard de Bourgogne,"Chateau de Chevron, Kingdom of Arles",France,n.a,n.a,
30 September 1061 - 21 April 1073,1061,1073,11 years,4015,Alexander II,ALEXANDER Secundus,Anselmo da Baggio,"Milan, Italy, Holy Roman Empire",Italy,n.a,n.a,
22 April 1073 - 25 May 1085,1073,1085,12 years,4380,"St. Gregory VII, O.S.B.",GREGORIUS Septimus,Hildebrand,"Sovana, Italy, Holy Roman Empire",Italy,n.a,n.a,
24 May 1086 - 16 September 1087,1086,1087,1 year,365,"Bd. Victor III, O.S.B.",VICTOR Tertius,Desiderio; Desiderius; Dauferius,"Benevento, Duchy of Benevento",Italy,n.a,n.a,
